192.168.1.95.53418 > 91.189.94.4.123 48

192.168.1.95.54633 > 91.189.89.198.123 48

91.189.89.198.123 > 192.168.1.95.54633 48

192.168.1.95.57175 > 91.189.89.198.123 48

192.168.1.95.57175 > 91.189.89.198.123 48

91.189.89.198.123 > 192.168.1.95.57175 48

192.168.1.53.60114 > 224.0.0.252.5355 33

192.168.1.53.56023 > 224.0.0.252.5355 33

192.168.1.53.62014 > 224.0.0.252.5355 33

192.168.1.95.39038 > 184.51.15.135.80 296
184.51.15.135.80 > 192.168.1.95.39038 384
192.168.1.95.56534 > 52.34.107.172.443 517

52.34.107.172.443 > 192.168.1.95.56534 1586

52.34.107.172.443 > 192.168.1.95.56534 1428

192.168.1.95.56534 > 52.34.107.172.443 126

192.168.1.95.56536 > 52.34.107.172.443 517

52.34.107.172.443 > 192.168.1.95.56534 51

52.34.107.172.443 > 192.168.1.95.56536 3014

192.168.1.95.56536 > 52.34.107.172.443 126

192.168.1.95.41220 > 117.18.237.29.80 450
192.168.1.95.41222 > 117.18.237.29.80 450
117.18.237.29.80 > 192.168.1.95.41220 788
192.168.1.95.56534 > 52.34.107.172.443 577

52.34.107.172.443 > 192.168.1.95.56536 51

117.18.237.29.80 > 192.168.1.95.41222 788
52.34.107.172.443 > 192.168.1.95.56534 210

192.168.1.95.56536 > 52.34.107.172.443 31

52.34.107.172.443 > 192.168.1.95.56536 31

192.168.1.95.40954 > 183.232.231.172.443 517

192.168.1.95.56534 > 52.34.107.172.443 812

183.232.231.172.443 > 192.168.1.95.40954 68

183.232.231.172.443 > 192.168.1.95.40954 1452

183.232.231.172.443 > 192.168.1.95.40954 602

183.232.231.172.443 > 192.168.1.95.40954 1452

183.232.231.172.443 > 192.168.1.95.40954 338

183.232.231.172.443 > 192.168.1.95.40954 9

192.168.1.95.40954 > 183.232.231.172.443 126

183.232.231.172.443 > 192.168.1.95.40954 175

183.232.231.172.443 > 192.168.1.95.40954 6

183.232.231.172.443 > 192.168.1.95.40954 45

192.168.1.95.40956 > 183.232.231.172.443 517

192.168.1.95.40958 > 183.232.231.172.443 517

183.232.231.172.443 > 192.168.1.95.40958 68

183.232.231.172.443 > 192.168.1.95.40958 602

183.232.231.172.443 > 192.168.1.95.40958 2904

183.232.231.172.443 > 192.168.1.95.40958 338

183.232.231.172.443 > 192.168.1.95.40958 9

183.232.231.172.443 > 192.168.1.95.40956 68

183.232.231.172.443 > 192.168.1.95.40956 1452

183.232.231.172.443 > 192.168.1.95.40956 602

183.232.231.172.443 > 192.168.1.95.40956 1452

183.232.231.172.443 > 192.168.1.95.40956 338

183.232.231.172.443 > 192.168.1.95.40956 9

192.168.1.95.40956 > 183.232.231.172.443 126

192.168.1.95.40958 > 183.232.231.172.443 126

183.232.231.172.443 > 192.168.1.95.40956 175

183.232.231.172.443 > 192.168.1.95.40956 6

183.232.231.172.443 > 192.168.1.95.40958 2904

183.232.231.172.443 > 192.168.1.95.40956 45

183.232.231.172.443 > 192.168.1.95.40958 175

183.232.231.172.443 > 192.168.1.95.40958 6

183.232.231.172.443 > 192.168.1.95.40958 45

192.168.1.95.55794 > 183.218.12.241.80 472
192.168.1.95.55798 > 183.218.12.241.80 472
192.168.1.95.55796 > 183.218.12.241.80 472
52.34.107.172.443 > 192.168.1.95.56534 210

183.218.12.241.80 > 192.168.1.95.55794 2339
183.218.12.241.80 > 192.168.1.95.55798 2335
183.218.12.241.80 > 192.168.1.95.55796 2339
192.168.1.95.40956 > 183.232.231.172.443 495

183.232.231.172.443 > 192.168.1.95.40956 2904

183.232.231.172.443 > 192.168.1.95.40956 1125

183.232.231.172.443 > 192.168.1.95.40956 125

183.232.231.172.443 > 192.168.1.95.40956 30

183.232.231.172.443 > 192.168.1.95.40956 1452

183.232.231.172.443 > 192.168.1.95.40956 2904

183.232.231.172.443 > 192.168.1.95.40956 2904

183.232.231.172.443 > 192.168.1.95.40956 2904

183.232.231.172.443 > 192.168.1.95.40956 1452

192.168.1.95.56534 > 52.34.107.172.443 1194

183.232.231.172.443 > 192.168.1.95.40956 1452

183.232.231.172.443 > 192.168.1.95.40956 1452

183.232.231.172.443 > 192.168.1.95.40956 2904

183.232.231.172.443 > 192.168.1.95.40956 2904

183.232.231.172.443 > 192.168.1.95.40956 2904

183.232.231.172.443 > 192.168.1.95.40956 1452

183.232.231.172.443 > 192.168.1.95.40956 1452

183.232.231.172.443 > 192.168.1.95.40956 1452

183.232.231.172.443 > 192.168.1.95.40956 1452

183.232.231.172.443 > 192.168.1.95.40956 2904

183.232.231.172.443 > 192.168.1.95.40956 1452

183.232.231.172.443 > 192.168.1.95.40956 1452

183.232.231.172.443 > 192.168.1.95.40956 1452

183.232.231.172.443 > 192.168.1.95.40956 2123

52.34.107.172.443 > 192.168.1.95.56534 210

192.168.1.95.60964 > 112.49.48.32.443 517

192.168.1.95.60962 > 112.49.48.32.443 517

192.168.1.95.60960 > 112.49.48.32.443 517

112.49.48.32.443 > 192.168.1.95.60962 2680

112.49.48.32.443 > 192.168.1.95.60962 1248

112.49.48.32.443 > 192.168.1.95.60964 3928

112.49.48.32.443 > 192.168.1.95.60960 3928

192.168.1.95.60964 > 112.49.48.32.443 126

192.168.1.95.60962 > 112.49.48.32.443 126

192.168.1.95.60960 > 112.49.48.32.443 126

